id,title,mean_attendance,std_attendance,lag1_autocorr,turning_points,over_capacity_rounds,dominant_period,efficiency
adaptive_fast,Adaptive Fast,2.058333333333333,13.447611828458207,0.20744862970797967,3,2,,0.61703125
adaptive_slow,Adaptive Slow,13.758333333333333,34.14259212804766,0.2717786801992125,17,16,,0.5443229166666667
contrarian_flashmob,Contrarian Flash Mob,0.35833333333333334,3.908955174411132,,0,0,,0.6272395833333333
custom_trend_guard,Custom Trend Guard,50.0,50.0,-1.0,118,60,2.0,0.3125
loyal_square_wave,Loyal Square Wave,50.0,50.0,0.5127118644067802,0,60,8.0,0.3125
mixed_ecology,Mixed Ecology,42.36666666666667,5.634615238761994,0.26152133293988455,56,0,6.0,0.8897916666666666
moving_average_echo,Moving Average Echo,33.775,47.07431403288493,-0.5042396509459871,40,40,3.0,0.41942708333333334
moving_average_long_memory,Moving Average Long Memory,38.80833333333333,48.52135197232475,-0.6280891307056672,64,46,2.608695652173913,0.38838541666666665
random_baseline,Random Baseline,50.80833333333333,4.9062814047119465,-0.03904516574362977,73,2,4.285714285714286,0.9294270833333333
regret_balancer,Regret Balancer,58.4,5.404319260246075,-0.013920822363926465,69,39,5.0,0.728125
threshold_optimists,Threshold Optimists,74.975,16.705519297525594,-0.14836809370871995,74,109,3.870967741935484,0.18473958333333335
trend_follower_whiplash,Trend Follower Whiplash,50.0,49.581582602145055,-0.9957894575515154,117,59,2.0,0.3229166666666667
